,Unnamed: 0,img,Excellent,Good,Adequate,Insuff_for_full,Insuff_for_any,labels,Redfree,other
0,0,207521_1350712.JPG,0,1,0,0,0,1,,
1,1,207521_1350713.JPG,0,1,0,0,0,1,,
2,2,207521_1350715.JPG,1,0,0,0,0,0,,
3,3,207521_1350716.JPG,0,1,0,0,0,1,,
4,4,207521_1350717.JPG,0,1,0,0,0,1,,
5,5,207526_1350744.JPG,0,1,0,0,0,1,,
6,6,207526_1350745.JPG,0,0,1,0,0,2,,
7,7,207526_1350746.JPG,0,0,1,0,0,2,,
8,8,207526_1350747.JPG,0,1,0,0,0,1,,
9,9,207526_1350749.JPG,0,1,0,0,0,1,,
10,10,207526_1350750.JPG,0,0,1,0,0,2,,
11,11,207526_1350751.JPG,0,1,0,0,0,1,,
12,12,207526_1350752.JPG,0,0,1,0,0,2,,
13,13,207527_1350754.JPG,0,1,0,0,0,1,,
14,14,207527_1350755.JPG,0,1,0,0,0,1,,
15,15,207527_1350756.JPG,0,0,1,0,0,2,,
16,16,207527_1350758.JPG,0,1,0,0,0,1,,
17,17,207527_1350759.JPG,0,1,0,0,0,1,,
18,18,207527_1350760.JPG,0,0,0,1,0,3,,
19,19,207527_1350761.JPG,0,1,0,0,0,1,,
20,20,207530_1350782.JPG,0,1,0,0,0,1,,
21,21,207530_1350783.JPG,0,0,1,0,0,2,,
22,22,207530_1350784.JPG,0,0,1,0,0,2,,
23,23,207530_1350786.JPG,0,1,0,0,0,1,,
24,24,207530_1350787.JPG,0,0,1,0,0,2,,
25,25,207530_1350788.JPG,0,1,0,0,0,1,,
26,26,207530_1350797.JPG,0,1,0,0,0,1,,
27,27,207530_1350798.JPG,0,0,1,0,0,2,,
28,28,207530_1350799.JPG,0,1,0,0,0,1,,
29,29,207686_1352043.JPG,0,1,0,0,0,1,,
30,30,207686_1352044.JPG,0,1,0,0,0,1,,
31,31,207686_1352045.JPG,0,0,1,0,0,2,,
32,32,207686_1352047.JPG,1,0,0,0,0,0,,
33,33,207686_1352048.JPG,0,1,0,0,0,1,,
34,34,207686_1352049.JPG,0,0,1,0,0,2,,
35,35,200935_1302202.JPG,1,0,0,0,0,0,,
36,36,202184_1311426.JPG,1,0,0,0,0,0,,
37,37,202184_1311427.JPG,1,0,0,0,0,0,,
38,38,202185_1311428.JPG,1,0,0,0,0,0,,
39,39,202185_1311429.JPG,1,0,0,0,0,0,,
40,40,202186_1311430.JPG,1,0,0,0,0,0,,
41,41,202186_1311431.JPG,1,0,0,0,0,0,,
42,42,204578_1329734.JPG,1,0,0,0,0,0,,
43,43,204584_1331461.JPG,1,0,0,0,0,0,,
44,44,204586_1332339.JPG,1,0,0,0,0,0,,
45,45,204586_1332343.JPG,1,0,0,0,0,0,,
46,46,204587_1332335.JPG,1,0,0,0,0,0,,
47,47,204592_1332323.JPG,1,0,0,0,0,0,,
48,48,204592_1332327.JPG,1,0,0,0,0,0,,
49,49,204595_1332307.JPG,1,0,0,0,0,0,,
50,50,204596_1332299.JPG,1,0,0,0,0,0,,
51,51,204596_1332303.JPG,1,0,0,0,0,0,,
52,52,204821_1332288.JPG,1,0,0,0,0,0,,
53,53,204865_1332219.JPG,1,0,0,0,0,0,,
54,54,204932_1332261.JPG,1,0,0,0,0,0,,
55,55,204934_1332269.JPG,1,0,0,0,0,0,,
56,56,204934_1332273.JPG,1,0,0,0,0,0,,
57,57,205705_1338323.JPG,1,0,0,0,0,0,,
58,58,205718_1338427.JPG,1,0,0,0,0,0,,
59,59,205778_1338892.JPG,1,0,0,0,0,0,,
60,60,205781_1338914.JPG,1,0,0,0,0,0,,
61,61,206012_1340357.JPG,1,0,0,0,0,0,,
62,62,206012_1340361.JPG,1,0,0,0,0,0,,
63,63,206067_1340790.JPG,1,0,0,0,0,0,,
64,64,206071_1340823.JPG,1,0,0,0,0,0,,
65,65,206071_1340827.JPG,1,0,0,0,0,0,,
66,66,206165_1341532.JPG,1,0,0,0,0,0,,
67,67,206165_1341537.JPG,1,0,0,0,0,0,,
68,68,206453_1343836.JPG,1,0,0,0,0,0,,
69,69,206455_1343853.JPG,1,0,0,0,0,0,,
70,70,206455_1343854.JPG,1,0,0,0,0,0,,
71,71,206577_1344848.JPG,1,0,0,0,0,0,,
72,72,206609_1345091.JPG,1,0,0,0,0,0,,
73,73,206609_1345095.JPG,1,0,0,0,0,0,,
74,74,206610_1345099.JPG,1,0,0,0,0,0,,
75,75,206665_1345534.JPG,1,0,0,0,0,0,,
76,76,206665_1345538.JPG,1,0,0,0,0,0,,
77,77,206668_1345555.JPG,1,0,0,0,0,0,,
78,78,206739_1346097.JPG,1,0,0,0,0,0,,
79,79,207115_1348474.JPG,1,0,0,0,0,0,,
80,80,207115_1348478.JPG,1,0,0,0,0,0,,
81,81,207248_1348957.JPG,1,0,0,0,0,0,,
82,82,207521_1350711.JPG,1,0,0,0,0,0,,
83,83,200935_1302203.JPG,0,1,0,0,0,1,,
84,84,200948_1302318.JPG,0,1,0,0,0,1,,
