,Image,labels
2,278611994141_2601.png,0
6,214189042515_3281.png,0
12,554448876390_107.png,0
13,674347030286_2524.png,0
14,796282255349_381.png,0
15,993023278923_62.png,0
17,207998127593_3248.png,0
19,744306592463_299.png,0
22,987270537640_15.png,0
24,572780943183_7.png,0
25,989301179886_126.png,0
26,830006002974_104.png,0
27,274833361680_194.png,0
28,764696884251_56.png,0
29,279175507830_173.png,0
30,778608133606_3.png,0
31,129310496531_1624.png,0
32,483656458117_57.png,0
33,654209085758_3286.png,0
34,396095248326_105.png,0
35,789225496091_3005.png,0
37,316093686012_2817.png,0
38,650418572368_374.png,0
39,911622016693_2484.png,0
40,608362890899_2883.png,0
42,110357527251_47.png,0
43,685505912346_3343.png,0
44,601060412790_2797.png,0
46,840899031174_41.png,0
49,357251708376_310.png,0
50,699121420070_268.png,0
55,668917039223_20.png,0
56,709126837809_796.png,0
61,556987594835_506.png,0
62,268882488964_30.png,0
63,824967649222_849.png,0
64,432977717923_104.png,0
66,731268103769_45.png,0
68,681628403600_53.png,0
71,417942669480_393.png,0
73,296996730720_1973.png,0
74,989301179886_133.png,0
77,216348543115_23.png,0
78,731268103769_47.png,0
79,842029718092_124.png,0
80,526144458885_822.png,0
85,980979740184_2776.png,0
90,244188263704_1869.png,0
91,895330138296_611.png,0
93,572780943183_1.png,0
94,268882488964_31.png,0
101,207804182921_75.png,0
102,922649730766_1745.png,0
107,184021114566_42.png,0
113,978703721907_96.png,0
116,553544565405_13.png,0
119,840899031174_772.png,0
122,143540761549_155.png,0
123,193986043939_2649.png,0
124,580603230479_1203.png,0
126,230198735753_2793.png,0
128,978703721907_97.png,0
129,762364345542_649.png,0
130,344187221533_334.png,0
131,557109937516_1.png,0
132,827815819578_40.png,0
135,491234786761_53.png,0
137,20893814_139.png,0
138,415342646631_1237.png,0
140,341879820152_1334.png,0
141,863531088592_1983.png,0
142,350515010423_1709.png,0
144,301001229493_1283.png,0
152,756193734104_2687.png,0
154,500196950894_96.png,0
155,169699058066_39.png,0
156,795591049648_267.png,0
157,572780943183_5.png,0
158,597447767582_122.png,0
160,652052303828_2908.png,0
161,795591049648_265.png,0
162,575714258591_70.png,0
163,722332376999_1187.png,0
167,309028234302_2002.png,0
168,156730228020_2447.png,0
169,441479186242_8.png,0
172,804013020642_2199.png,0
175,164538165078_1753.png,0
177,830006002974_100.png,0
178,144591231555_418.png,0
179,535466506327_131.png,0
180,786413222075_33.png,0
182,313675177473_251.png,0
183,936883194737_42.png,0
184,433427026502_1874.png,0
185,244178787963_1475.png,0
186,702127501295_324.png,0
187,871528272684_93.png,0
191,837897497551_74.png,0
192,866555907562_127.png,0
195,20888686_105.png,0
197,309397802062_1246.png,0
199,351145406253_93.png,0
200,129310496531_1628.png,0
202,908101084595_279.png,0
205,311745615952_151.png,0
206,830006002974_92.png,0
207,617511544000_9.png,0
209,581870205469_316.png,0
211,20231935_32.png,0
214,581481452790_120.png,0
215,215645397812_2734.png,0
218,553544565405_229.png,0
220,940604480310_28.png,0
223,324850484710_1933.png,0
225,840899031174_771.png,0
226,686140780341_2942.png,0
228,877754489250_71.png,0
229,518447889244_19.png,0
232,548968293415_2.png,0
234,856138543579_653.png,0
236,134725566968_234.png,0
237,941286169198_981.png,0
242,608312735265_2356.png,0
245,339646503062_1096.png,0
249,0276764_14.png,0
250,840899031174_5.png,0
251,612071010178_45.png,0
252,731268103769_41.png,0
255,879735465785_1376.png,0
261,795286449183_2984.png,0
263,135066140048_1041.png,0
265,940604480310_26.png,0
266,156730228020_2448.png,0
267,570703933924_78.png,0
269,726715479643_2386.png,0
271,20231935_25.png,0
272,341945525892_2372.png,0
275,277097367851_1761.png,0
279,603998649632_58.png,0
281,769424588318_57.png,0
284,150505388600_3042.png,0
285,473965308949_3094.png,0
287,431624046811_1405.png,0
289,946359335090_2690.png,0
295,764489767837_214.png,0
297,557120600555_3435.png,0
298,764489767837_206.png,0
299,840899031174_37.png,0
301,681471053061_3194.png,0
302,813763499017_3341.png,0
303,567636695398_118.png,0
306,762136824222_36.png,0
307,220291766822_2936.png,0
310,632176330243_28.png,0
311,581481452790_117.png,0
312,839815003379_3012.png,0
314,355342477162_1417.png,0
316,684967759363_40.png,0
321,338104589906_1026.png,0
322,722658384845_171.png,0
