,Height
1920,83791
1944,77126
2592,57354
3264,54203
1934,27976
2304,22694
2448,19306
1824,19018
3168,18061
3648,17372
3072,15568
4000,15073
2336,13256
2048,9965
2848,9147
2136,7915
2056,7195
3712,7067
1725,6652
2300,6271
1876,6250
2656,5185
1721,5175
1632,5077
3456,4685
2800,3063
1728,2590
3000,2232
1958,1944
1984,1676
682,1306
1880,1303
502,647
2000,612
1696,363
2432,324
1360,300
2720,210
1184,193
1536,172
3236,141
1152,131
1664,72
1630,70
912,70
1288,57
315,49
3782,42
940,42
1066,36
900,30
1125,25
960,24
1200,17
1155,12
1930,8
300,7
125,6
109,6
211,6
2910,6
617,3
801,3
2672,2
616,2
820,2
615,1
112,1
683,1
210,1
