833758612558_1846.png,441965561693_1725.png
1,1
357251708376_311.png,578184120957_719.png
1,1
278611994141_2601.png,379555453762_57.png
0,1
985714726449_129.png,936067480890_1806.png
1,0
222887373246_1773.png,228727013494_3335.png
1,0
110127687078_75.png,389712748656_3311.png
1,0
214189042515_3281.png,532817958124_2491.png
0,1
683738917842_180.png,858235946428_2693.png
1,0
164538165078_1752.png,701192330238_24.png
1,0
301001229493_1284.png,594143428478_288.png
1,1
549733273277_53.png,482469995080_437.png
1,0
662256656405_959.png,723791120719_2033.png
1,0
554448876390_107.png,251404070836_988.png
0,1
674347030286_2524.png,609859592068_4.png
0,0
796282255349_381.png,20173997_63.png
0,1
993023278923_62.png,667615805298_3159.png
0,0
612491873091_284.png,795591049648_269.png
1,1
207998127593_3248.png,272436316261_1940.png
0,0
668120264286_278.png,208384063534_124.png
1,0
744306592463_299.png,272365977423_3056.png
0,1
379555453762_64.png,710898793562_2388.png
1,1
950465767867_1787.png,611532182871_1937.png
1,1
987270537640_15.png,837265040191_2423.png
0,0
254659183021_1243.png,843777652566_9.png
1,0
572780943183_7.png,333597054971_626.png
0,1
989301179886_126.png,203648378218_12.png
0,0
830006002974_104.png,791124267528_68.png
0,1
274833361680_194.png,954618460788_831.png
0,0
764696884251_56.png,483141243470_325.png
0,0
279175507830_173.png,464599977359_2752.png
0,1
778608133606_3.png,275661138762_1150.png
0,0
129310496531_1624.png,425886974239_2740.png
0,0
483656458117_57.png,560295427936_215.png
0,1
654209085758_3286.png,843777652566_18.png
0,1
396095248326_105.png,655596152469_3176.png
0,0
789225496091_3005.png,238914291714_150.png
0,1
267413376830_3200.png,790333570729_1552.png
1,0
316093686012_2817.png,888580966814_904.png
0,0
650418572368_374.png,922561829745_2184.png
0,0
911622016693_2484.png,8656858_7.png
0,0
608362890899_2883.png,779137129779_1789.png
0,1
639539079685_174.png,789177370136_1838.png
1,1
110357527251_47.png,976302395012_1217.png
0,0
685505912346_3343.png,967846931189_3069.png
0,1
601060412790_2797.png,185441296082_389.png
0,0
495723171561_2338.png,687284041789_1363.png
1,0
840899031174_41.png,221706668578_2603.png
0,1
20884796_118.png,962446792694_1058.png
1,0
432977717923_114.png,273962940407_1456.png
1,1
357251708376_310.png,866698375193_329.png
0,1
699121420070_268.png,993023278923_61.png
0,0
993023278923_69.png,626198075944_6.png
1,0
394807892737_1540.png,741034458727_178.png
1,1
764846353705_1350.png,853317845330_184.png
1,1
611338952756_1074.png,430375075311_2813.png
1,1
668917039223_20.png,954618460788_838.png
0,0
709126837809_796.png,760777201120_2432.png
0,1
126758012485_1765.png,244971078580_4.png
1,1
612071010178_53.png,192038485634_362.png
1,1
171508978812_2583.png,391770830740_2319.png
1,1
541726984761_56.png,422051845654_888.png
1,1
556987594835_506.png,217470916442_1736.png
0,0
268882488964_30.png,110127687078_73.png
0,1
824967649222_849.png,495728659193_3252.png
0,0
432977717923_104.png,524493080166_51.png
0,0
769934621273_665.png,401373802702_2119.png
1,1
731268103769_45.png,174911645187_386.png
0,1
191188233735_18.png,516903642985_2.png
1,1
681628403600_53.png,477141480369_147.png
0,1
203648378218_21.png,836345175327_2285.png
1,1
700764525013_97.png,570703933924_68.png
1,0
417942669480_393.png,764136673032_2617.png
0,1
391770830740_2328.png,835800537685_528.png
1,0
296996730720_1973.png,789881292442_2538.png
0,0
989301179886_133.png,568389822410_1168.png
0,0
608362890899_2885.png,696491302835_17.png
1,0
181445865271_1679.png,247789242980_2099.png
1,1
216348543115_23.png,421782183057_39.png
0,1
731268103769_47.png,664039527911_3321.png
0,0
842029718092_124.png,636039780441_2040.png
0,1
526144458885_822.png,475548512619_894.png
0,0
535925707647_1672.png,866698375193_327.png
1,1
266651287467_51.png,295422982256_161.png
1,0
192038485634_358.png,840899031174_18.png
1,0
421782183057_36.png,114063065323_141.png
1,0
980979740184_2776.png,181445865271_1682.png
0,1
192038485634_351.png,382880599264_1694.png
1,0
217470916442_1739.png,427086310202_85.png
1,0
632183899940_3447.png,654209085758_3285.png
1,0
822920534021_136.png,217470916442_1741.png
1,0
244188263704_1869.png,588734250938_515.png
0,1
895330138296_611.png,575223462523_1606.png
0,1
367372865532_1443.png,791754158348_1516.png
1,1
572780943183_1.png,749596991307_2923.png
0,1
268882488964_31.png,432977717923_112.png
0,0
224232821293_927.png,330780547674_2034.png
1,0
296255762915_197.png,655789237577_2634.png
1,0
973143343630_1286.png,612071010178_52.png
1,0
114648560554_1890.png,428865883429_486.png
1,0
20231935_27.png,715128110072_17.png
1,0
238397622807_31.png,911622016693_2482.png
1,0
207804182921_75.png,379555453762_66.png
0,1
922649730766_1745.png,536175927161_101.png
0,0
911622016693_2483.png,806441778992_30.png
1,1
936111477501_1450.png,837973529377_136.png
1,0
227485273481_222.png,722332376999_1194.png
1,1
506844731519_31.png,428865883429_499.png
1,1
184021114566_42.png,958933765988_144.png
0,0
244178787963_1484.png,640136136494_3213.png
1,1
389712748656_3312.png,453251923703_2969.png
1,0
141504964851_2064.png,421218130831_2715.png
1,0
20828991_156.png,915627453821_2671.png
1,0
863531088592_1987.png,570703933924_79.png
1,0
978703721907_96.png,777701977765_591.png
0,0
824549014219_2867.png,836345175327_2283.png
1,0
952808847239_174.png,497124911632_61.png
1,0
553544565405_13.png,412034110708_2823.png
0,1
674192929830_9.png,946219532066_1387.png
1,1
238914291714_152.png,560295427936_5.png
1,1
840899031174_772.png,865245750682_25.png
0,0
119743082698_151.png,884743150152_2306.png
1,1
764489767837_205.png,603428684392_2290.png
1,0
143540761549_155.png,858235946428_2694.png
0,1
193986043939_2649.png,863512664330_3246.png
0,0
